Q:16, M:10, codeRate:0.500000, codeLen:2^10, EbN0:0.500000, 281/517 ...errors:2558897.000000, BEP:0.500215, transmissions:0 - took 5.352979 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^10, EbN0:0.500000, 312/517 ...errors:2557941.000000, BEP:0.500402, transmissions:0 - took 8.384174 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:7.500000, 78/517 ...errors:1218204.000000, BEP:0.524139, transmissions:0 - took 2.986358 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^10, EbN0:1.000000, 220/517 ...errors:2546328.000000, BEP:0.502670, transmissions:0 - took 4.339073 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^10, EbN0:2.000000, 191/517 ...errors:2548130.000000, BEP:0.502318, transmissions:0 - took 5.394032 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:13.000000, 151/517 ...errors:497.000000, BEP:0.999806, transmissions:0 - took 3.915977 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^10, EbN0:1.000000, 251/517 ...errors:2557121.000000, BEP:0.500562, transmissions:0 - took 5.982374 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:9.000000, 112/517 ...errors:503.000000, BEP:0.999804, transmissions:0 - took 2.654560 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:7.000000, 77/517 ...errors:1246411.000000, BEP:0.513121, transmissions:0 - took 2.957715 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:8.500000, 111/517 ...errors:15904.000000, BEP:0.993788, transmissions:0 - took 2.639666 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^10, EbN0:0.000000, 280/517 ...errors:2560297.000000, BEP:0.499942, transmissions:0 - took 5.310865 mins
Q:16, M:2, codeRate:0.500000, codeLen:2^10, EbN0:0.500000, 219/517 ...errors:2551307.000000, BEP:0.501698, transmissions:0 - took 4.303115 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^9, EbN0:12.500000, 150/517 ...errors:10302.000000, BEP:0.995976, transmissions:0 - took 3.893832 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^9, EbN0:6.500000, 76/517 ...errors:1256738.000000, BEP:0.509087, transmissions:0 - took 2.613545 mins
Q:4, M:2, codeRate:0.500000, codeLen:2^10, EbN0:1.500000, 190/517 ...errors:2548952.000000, BEP:0.502158, transmissions:0 - took 4.986928 mins
Q:16, M:10, codeRate:0.500000, codeLen:2^9, EbN0:8.000000, 110/517 ...errors:202408.000000, BEP:0.920934, transmissions:0 - took 2.276537 mins
Q:4, M:10, codeRate:0.500000, codeLen:2^10, EbN0:0.500000, 250/517 ...errors:2558262.000000, BEP:0.500339, transmissions:0 - took 5.402374 mins
Q:4, M:40, codeRate:0.500000, codeLen:2^10, EbN0:0.000000, 311/517 ...errors:2559063.000000, BEP:0.500183, transmissions:0 - took 7.530001 mins
